"Model Identifier","Model Name"
"PowerBook4,3","iBook (32 VRAM) OR iBook (14.1-inch, 32 VRAM) OR iBook (32 VRAM) OR iBook (14.1-inch, 32 VRAM) OR iBook (Opaque 16 VRAM) OR iBook (16 VRAM) OR iBook (14.1-inch, 16 VRAM)"
"PowerBook5,1","PowerBook G4 (17-inch)"
"PowerBook5,2","PowerBook G4 (15-inch FW800)"
"PowerBook5,3","PowerBook G4 (17-inch 1.33GHz)"
"PowerBook5,4","PowerBook G4 (15-inch 1.5/1.33 GHz)"
"PowerBook5,5","PowerBook G4 (17-inch 1.5GHz)"
"PowerBook5,6","PowerBook G4 (15-inch 1.67/1.5 GHz)"
"PowerBook5,7","PowerBook G4 (17-inch 1.67 GHz)"
"PowerBook5,8","PowerBook G4 (15-inch Double Layer SD)"
"PowerBook5,9","PowerBook G4 (17-inch Double Layer SD)"
"PowerBook6,1","PowerBook G4 (12-inch)"
"PowerBook6,2","PowerBook G4 (12-inch DVI)"
"PowerBook6,3","iBook G4 (12-inch 1 GHz) OR iBook G4 (12-inch 800 MHz) OR iBook G4 (14-inch 1 GHz) OR iBook G4 (14-inch 800 MHz)"
"PowerBook6,4","PowerBook G4 (12-inch 1.33GHz)"
"PowerBook6,5","iBook G4 (12-inch Early 2004) OR iBook G4 (14-inch Early 2004) OR iBook G4 (12-inch Late 2004) OR iBook G4 (14-inch Late 2004)"
"PowerBook6,7","iBook G4 (12-inch Mid 2005) OR iBook G4 (14-inch Mid 2005)"
"PowerBook6,8","PowerBook G4 (12-inch 1.5GHz)"
"PowerMac1,1","Power Macintosh G3 (Blue & White) OR Power Macintosh G3 (Blue & White)"
"PowerMac1,2","Power Mac G4 (PCI Graphics)"
"PowerMac10,1","Mac mini (Early 2005)"
"PowerMac10,2","Mac mini (Late 2005)"
"PowerMac11,2","Power Mac G5 (Late 2005)"
"PowerMac12,1","iMac G5 (17-inch, iSight) OR iMac G5 (20-inch, iSight)"
"PowerMac2,1","iMac (Slot Loading) OR iMac (Slot Loading)"
"PowerMac2,2","iMac (Summer 2000) OR iMac (Summer 2000)"
"PowerMac3,1","Power Mac G4 (AGP Graphics)"
"PowerMac3,3","Power Mac G4 (Gigabit Internet)"
"PowerMac3,4","Power Mac G4 (Digital Audio)"
"PowerMac3,5","Power Mac G4 (QuickSilver) OR Power Mac G4 (QuickSilver) OR Power Mac G4 (QuickSilver 2002) OR Power Mac G4 (QuickSilver 2002ED) OR Power Mac G4 (QuickSilver 2002)"
"PowerMac3,6","Power Mac G4 (Mirrored Drive Doors) OR Power Mac G4 (FW800) OR Power Mac G4 (Mirrored Drive Doors 2003)"
"PowerMac4,1","iMac (Early 2001) OR iMac (Summer 2001)"
"PowerMac4,2","iMac (Flat Panel) OR iMac (15-inch Early 2003)"
"PowerMac4,4","eMac OR eMac (1GHz G4) OR eMac (ATI Graphics, 1 GHz) OR eMac (ATI Graphics, 800 MHz)"
"PowerMac4,5","iMac (17-inch Flat Panel)"
"PowerMac5,1","Power Mac G4 Cube"
"PowerMac6,1","iMac (17-inch)"
"PowerMac6,3","iMac (15-inch USB 2.0) OR iMac (17-inch USB 2.0) OR iMac (20-inch USB 2.0)"
"PowerMac6,4","eMac (USB 2.0) OR eMac (2005)"
"PowerMac7,2","Power Mac G5 OR Power Mac G5 (Early 2005, dual 2.0 GHz)"
"PowerMac7,3","Power Mac G5 (June 2004) OR Power Mac G5 (Early 2005, dual 2.3/2.7 GHz)"
"PowerMac8,1","iMac G5 (17-inch) OR iMac G5 (20-inch)"
"PowerMac8,2","iMac G5 (17-inch, ALS) OR iMac G5 (20-inch, ALS)"
"PowerMac9,1","Power Mac G5 (Late 2004)"
"Powerb3,1","Powerbeats Pro 2 Charging Case OR Powerbeats Pro 2 (Left) OR Powerbeats Pro 2 (Right)"
"Powerbeats2,1","Powerbeats (4th generation) OR Powerbeats Pro Charging Case OR Powerbeats Pro (Left, 2019) OR Powerbeats Pro (Right, 2019)"
"PowerbeatsPro1,1","Powerbeats Pro Charging Case OR Powerbeats Pro (Left, 2019) OR Powerbeats Pro (Right, 2019)"
"PowerbeatsPro2,1","Powerbeats Pro Charging Case (2020) OR Powerbeats Pro (Left, 2020) OR Powerbeats Pro (Right, 2020)"
"RackMac1,1","Xserve"
"RackMac1,2","Xserve (Cluster Node) OR Xserve (Slot Load)"
"RackMac3,1","Xserve G5 (Cluster Node) OR Xserve G5 OR Xserve G5 (January 2005 Cluster Node) OR Xserve G5 (January 2005)"
"RealityDevice14,1","Vision Pro"
"Solo2,1","Beats Solo Pro Eastside Golf Edition OR Beats Solo Pro Verdy Edition OR Beats Solo Pro"
"TimeCapsule6,106","AirPort Time Capsule (1st generation)"
"TimeCapsule6,109","AirPort Time Capsule (2nd generation)"
"TimeCapsule6,113","AirPort Time Capsule (3rd generation)"
"TimeCapsule6,116","AirPort Time Capsule (4th generation)"
"TimeCapsule8,119","AirPort Time Capsule (5th generation)"
"VirtualMac1,1","Apple Virtual Machine"
"VirtualMac2,1","Apple Virtual Machine 1"
"VirtualMac2,3","Apple Virtual Machine 3"
"Watch1,1","Apple Watch (1st generation) (38mm)"
"Watch1,2","Apple Watch (1st generation) (42mm) (Store Display Model) OR Apple Watch (1st generation) (42mm)"
"Watch2,1","Unreleased Apple Watch Series 2 (Cellular, 38mm)"
"Watch2,2","Unreleased Apple Watch Series 2 (Cellular, 42mm)"
"Watch2,3","Apple Watch Series 2 (38mm)"
"Watch2,4","Apple Watch Series 2 (42mm)"
"Watch2,5","T1"
"Watch2,6","Apple Watch Series 1 (38mm)"
"Watch2,7","Apple Watch Series 1 (42mm)"
"Watch3,1","Apple Watch Series 3 (GPS + Cellular, 38mm)"
"Watch3,2","Apple Watch Series 3 (GPS + Cellular, 42mm)"
"Watch3,3","Apple Watch Series 3 (GPS, 38mm)"
"Watch3,4","Apple Watch Series 3 (GPS, 42mm)"
"Watch4,1","Apple Watch Series 4 (GPS, 40mm)"
"Watch4,2","Apple Watch Series 4 (GPS, 44mm)"
"Watch4,3","Apple Watch Series 4 (GPS + Cellular, 40mm)"
"Watch4,4","Apple Watch Series 4 (GPS + Cellular, 44mm)"
"Watch5,1","Apple Watch Series 5 (GPS, 40mm)"
"Watch5,10","Apple Watch SE (1st generation, GPS, 44mm)"
"Watch5,11","Apple Watch SE (1st generation, GPS + Cellular, 44mm)"
"Watch5,12","Apple Watch SE (1st generation, GPS + Cellular, 44mm)"
"Watch5,2","Apple Watch Series 5 (GPS, 44mm)"
"Watch5,3","Apple Watch Series 5 (GPS + Cellular, 40mm)"
"Watch5,4","Apple Watch Series 5 (GPS + Cellular, 44mm)"
"Watch5,9","Apple Watch SE (1st generation, GPS, 40mm)"
"Watch6,1","Apple Watch Series 6 (GPS, 40mm)"
"Watch6,10","Apple Watch SE (2nd generation, GPS, 40mm)"
"Watch6,11","Apple Watch SE (2nd generation, GPS, 44mm)"
"Watch6,12","Apple Watch SE (2nd generation, GPS + Cellular, 40mm)"
"Watch6,13","Apple Watch SE (2nd generation, GPS + Cellular, 44mm)"
"Watch6,14","Apple Watch Series 8 (GPS, 41mm)"
"Watch6,15","Apple Watch Series 8 (GPS, 45mm)"
"Watch6,16","Apple Watch Series 8 (GPS + Cellular, 41mm)"
"Watch6,17","Apple Watch Series 8 (GPS + Cellular, 45mm)"
"Watch6,18","Apple Watch Ultra"
"Watch6,2","Apple Watch Series 6 (GPS, 44mm)"
"Watch6,3","Apple Watch Series 6 (GPS + Cellular, 40mm)"
"Watch6,4","Apple Watch Series 6 (GPS + Cellular, 44mm)"
"Watch6,6","Apple Watch Series 7 (GPS, 41mm)"
"Watch6,7","Apple Watch Series 7 (GPS, 45mm)"
"Watch6,8","Apple Watch Series 7 (GPS + Cellular, 41mm)"
"Watch6,9","Apple Watch Series 7 (GPS + Cellular, 45mm)"
"Watch7,1","Apple Watch Series 9 (GPS, 41mm)"
"Watch7,10","Apple Watch Series 10 (GPS + Cellular, 42mm)"
"Watch7,11","Apple Watch Series 10 (GPS + Cellular, 46mm)"
"Watch7,2","Apple Watch Series 9 (GPS, 45mm)"
"Watch7,3","Apple Watch Series 9 (GPS + Cellular, 41mm)"
"Watch7,4","Apple Watch Series 9 (GPS + Cellular, 45mm)"
